م,الصنف,كمية,رويال الكيم / سنتر اللوتس التجاري,سعر التكلفة,رويال الكيم اونلاين,سعر1 كارت,رويال توزيع / عربيه,سعر2 كارت,ريال الكيم / اداره مخازن,سعر3 كارت,ROYAL ELCHIM . HURGADA,سعر4 كارت,ROYAL ELCHIM MARWA,تاريخ اخر حركة,الفرق,بيع,شراء,مرتجع بيع,مرتجع شراء,صادر,وارد,تالف,تسوية,قيمة بيع,قيمة شراء,قيمة مرتجع بيع,قيمة مرتجع شراء,قيمة تالف,الباركود,الوصف,حجز,غير مؤكد,ج تكلفة,نوع الصنف,اسم الصنف,الوصف 4,الوصف 5,ترتيب القائمة,سعر1 %,إجمالي الكمية,حد الطلب رويال الكيم / سنتر اللوتس التجاري,التصنيف الرئيسي,اسم القائمة,نواقص رويال الكيم / سنتر اللوتس التجاري,اخر تسوية رويال الكيم / سنتر اللوتس التجاري,صورة الصنف,اخر سعر شراء,سعر عرض,تاريخ النواقص,خصم بيع,خصم شراء,سعر1 = رويال الكيم / سنتر اللوتس التجاري,سعر2 = رويال الكيم / سنتر اللوتس التجاري,سعر3 = رويال الكيم / سنتر اللوتس التجاري,سعر4 = رويال الكيم / سنتر اللوتس التجاري,مطلوب حد الطلب,تاريخ اخر بيع,أونلاين,كمية أونلاين,تاريخ خصم أونلاين,سعر أونلاين,#هاشتاج,كلمات البحث,مورد اخر,ملاحظات,أول تاريخ,اخر تاريخ,تحت الطلب,نسبة الخصم**,اخر سعر تكلفة,تاريخ اخر شراء,*اسم الصنف Online,سعر تكلفة مخصص,إيقاف الإدراج,قيمة سعر1,قيمة سعر2,قيمة سعر3,قيمة سعر4,عدد الصور
1021,Might Cinema Lip Gloss Model 2581,0,0,40٫83,0,60,0,55,0,50,0,45,0,2025/09/29,,,,,,,,,,,,,,,6222045502408,Model 2581,0,,0,Might Cinema,Lip Gloss,,,,46٫94,0,0,,1,نواقص,99999,,40٫83,,2025/09/29,,,,,,,,2025/09/29,,-1,,,,,Might Cinema,,,,0,31٫95,40٫83,2023/12/28,,40٫83,لا,60,55,50,45,0
1022,Might Cinema LIP STIK,0,0,20,0,40,0,35,0,30,0,25,0,2024/03/25,,,,,,,,,,,,,,,086006,,0,,0,Might Cinema,LIP STIK,,,,100,0,0,,1,نواقص,99999,,20,,2024/03/25,,,,,,,,2024/03/25,,-1,,,,,مايكل ثروت / مايت سينما,,,,0,50,20,2023/08/10,,20,لا,40,35,30,25,0
1023,Might Cinema MAKEUP REMOVER MODEL 5018,0,0,42,0,75,0,70,0,65,0,60,0,2025/01/29,,,,,,,,,,,,,,,6222045505324,MODEL 5018,0,,0,Might Cinema,MAKEUP REMOVER,,,,78٫57,0,0,,1,نواقص,99999,,42,,2025/01/29,,,,,,,,2025/01/29,,-1,,,,,محمد حافظ / مايت سينما,,,,0,44,42,2024/10/19,,42,لا,75,70,65,60,0
1024,Might Cinema Mascara 1545 Model,0,0,70,0,95,0,90,0,85,0,80,0,2025/03/23,,,,,,,,,,,,,,,086011,1545 Model,0,,0,Might Cinema,Mascara,,,,35٫71,0,0,MAKE_UP,1,نواقص,99999,,70,,2024/12/02,,,,,,,,2025/03/23,,-1,,,,,ميخائيل نجع حمادي,,,,0,26٫32,70,2024/11/26,,70,لا,95,90,85,80,0
1025,Might Cinema Mascara 2578 Model,0,0,70,0,120,0,110,0,100,0,90,0,2024/12/31,,,,,,,,,,,,,,,6222045500589,2578 Model,0,,0,Might Cinema,Mascara,,,,71٫43,0,0,,1,نواقص,99999,,70,,2024/12/31,,,,,,,,2024/12/31,,-1,,,,,ميخائيل نجع حمادي,,,,0,41٫67,70,2024/11/26,,70,لا,120,110,100,90,0
1026,Might Cinema Mascara Model 1976,0,0,55٫67,0,80,0,75,0,70,0,65,0,2024/06/29,,,,,,,,,,,,,,,6222045501623,Model 1976,0,,0,Might Cinema,Mascara,,,,43٫71,0,0,MAKE_UP,1,نواقص,99999,,55٫67,,2024/05/08,,,,,,,,2024/06/29,,-1,,,,,Might Cinema,,,,0,30٫42,55٫67,2023/12/28,,55٫67,لا,80,75,70,65,0
1027,Might Cinema Mascara Model 4085,0,0,57,0,80,0,75,0,70,0,65,0,2026/02/09,,,,,,,,,,,,,,,6222045506673,Model 4085,0,,0,Might Cinema,Mascara,,,,40٫35,0,0,,1,نواقص,99999,,57,,2026/02/09,,,,,,,,2026/02/09,,-1,,,,,ميخائيل نجع حمادي,,,,0,28٫75,57,2026/01/27,,57,لا,80,75,70,65,0
1028,Might Cinema Mascara & Eyeliner Model 2550,0,0,60,0,90,0,80,0,70,0,65,0,2024/07/29,,,,,,,,,,,,,,,6222045500275,Model 2550,0,,0,Might Cinema,Mascara & Eyeliner,,,,50,0,0,MAKE_UP,1,نواقص,99999,,60,,2024/04/27,,,,,,,,2024/07/29,,-1,,,,,Might Cinema,,,,0,33٫33,60,2023/12/28,,60,لا,90,80,70,65,0
1029,Might Cinema Primer 1127 Model,0,0,110,0,160,0,150,0,140,0,130,0,2025/01/06,,,,,,,,,,,,,,,6222045504747,1127 Model,0,,0,Might Cinema,Primer,,,,45٫45,0,0,,1,نواقص,99999,,110,,2025/01/06,,,,,,,,2025/01/06,,-1,,,,,محمد حافظ / مايت سينما,,,,0,31٫25,110,2024/10/26,,110,لا,160,150,140,130,0
1030,Might Cinema Primer Tube,0,0,55,0,75,0,70,0,65,0,60,0,2023/05/28,,,,,,,,,,,,,,,086003,Tube,0,,0,Might Cinema,Primer,,,,36٫36,0,0,MAKE_UP,1,نواقص,99999,,55,,2023/05/29,,,,,,,,2023/05/28,,-1,,,,,ميخائيل نجع حمادي,,,,0,26٫67,55,2023/04/19,,55,لا,75,70,65,60,0
1031,Might Cinema Whitening Foundation Model 2594,0,0,120,0,180,0,170,0,160,0,150,0,2024/10/30,,,,,,,,,,,,,,,6222045501166,Model 2594,0,,0,Might Cinema,Whitening Foundation,,,,50,0,0,MAKE_UP,1,نواقص,99999,,120,,2024/10/30,,,,,,,,2024/10/30,,-1,,,,,ميخائيل نجع حمادي,,,,0,33٫33,120,2024/09/03,,120,لا,180,170,160,150,0
1032,Might Cinema كتاب 3 دور Model 1087,0,0,470٫4,0,700,0,650,0,600,0,550,0,2023/11/09,,,,,,,,,,,,,,,6222045501548,Model 1087,0,,0,Might Cinema,كتاب 3 دور,,,,48٫81,0,0,MAKE_UP,1,نواقص,99999,,480,,2023/11/10,,,,,,,,2023/11/09,,-1,,,,,محمد حافظ\ مايت سينما,,,,0,32٫8,470٫4,2023/10/07,,470٫4,لا,700,650,600,550,0
1033,Might Cinema كريم اساس ALL SKIN TYPES,0,0,82,0,140,0,135,0,120,0,110,0,2023/06/01,,,,,,,,,,,,,,,086004,,0,,0,Might Cinema,كريم اساس ALL SKIN TYPES,,,,70٫73,0,0,MAKE_UP,1,نواقص,99999,,82,,2023/06/01,,,,,,,,2023/06/01,,-1,,,,,ميخائيل نجع حمادي,,,,0,41٫43,82,2023/05/16,,82,لا,140,135,120,110,0
1034,Might Cinema كريم اساس BB,0,0,82,0,140,0,130,0,120,0,110,0,2023/05/16,,,,,,,,,,,,,,,6222045502231,,0,,0,Might Cinema,كريم اساس BB,,,,70٫73,0,0,MAKE_UP,1,نواقص,99999,,82,,2023/05/16,,,,,,,,2023/05/16,,-1,,,,,ميخائيل نجع حمادي,,,,0,41٫43,82,2023/05/16,,82,لا,140,130,120,110,0
1035,Might Cinema كريم اساس Liquide Velvet,0,0,82,0,140,0,135,0,115,0,100,0,2023/06/01,,,,,,,,,,,,,,,6222045500237,,0,,0,Might Cinema,كريم اساس Liquide Velvet,,,,70٫73,0,0,MAKE_UP,1,نواقص,99999,,82,,2023/06/02,,,,,,,,2023/06/01,,-1,,,,,ميخائيل نجع حمادي,,,,0,41٫43,82,2023/05/16,,82,لا,140,135,115,100,0
1036,Might Cinema كريم اساس Matte,0,0,82,0,140,0,135,0,115,0,100,0,2023/07/09,,,,,,,,,,,,,,,6222045500138,,0,,0,Might Cinema,كريم اساس Matte,,,,70٫73,0,0,MAKE_UP,1,نواقص,99999,,82,,2023/07/09,,,,,,,,2023/07/09,,-1,,,,,ميخائيل نجع حمادي,,,,0,41٫43,82,2023/05/09,,82,لا,140,135,115,100,0
52,إجمالي -   Might Cinema,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,0,0,,,,,,,0,,,,,0,0,0,0,0,,,,,,,,,,,,,,0,,,0,,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mightcinema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mightcinema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037,Mightcinema Blusher stick 6008 106,0,0,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,136001,6008,0,,0,Mightcinema,Blusher stick,106,Spong,,,0,0,,1,---,99999,,0,,,,,,,,,,,,-1,,,,,,,,,0,,0,,,0,لا,,,,,0
1,إجمالي -   Mightcinema,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,0,0,,,,,,,0,,,,,0,0,0,0,0,,,,,,,,,,,,,,0,,,0,,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MINK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MINK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,MINK Conditioner Garlic,0,0,20٫83,0,35,0,30,0,28,0,25,0,2023/03/20,,,,,,,,,,,,,,,6222014500121,Garlic,0,,0,MINK,Conditioner,,,,68٫03,0,0,,1,نواقص,99999,,20٫83,,2022/12/03,,,,,,,,2023/03/20,,-1,,,,,جميل ساويروس,,,,0,40٫49,20٫83,2022/11/28,,20٫83,لا,35,30,28,25,0
1039,MINK Conditioner Honey Scent,0,0,20٫83,0,35,0,30,0,28,0,25,0,2023/02/27,,,,,,,,,,,,,,,6222014500176,Honey Scent,0,,0,MINK,Conditioner,,,,68٫03,0,0,,1,نواقص,99999,,20٫83,,2023/02/27,,,,,,,,2023/02/27,,-1,,,,,جميل ساويروس,,,,0,40٫49,20٫83,2022/11/28,,20٫83,لا,35,30,28,25,0
1040,MINK Conditioner Olive Oil,0,0,20٫83,0,35,0,30,0,28,0,25,0,2023/04/18,,,,,,,,,,,,,,,6222014500145,Olive Oil,0,,0,MINK,Conditioner,,,,68٫03,0,0,,1,نواقص,99999,,20٫83,,2023/04/18,,,,,,,,2023/04/18,,-1,,,,,جميل ساويروس,,,,0,40٫49,20٫83,2022/11/28,,20٫83,لا,35,30,28,25,0
1041,MINK Conditioner Snake Oil,0,0,20٫83,0,35,0,30,0,28,0,25,0,2023/03/24,,,,,,,,,,,,,,,6222014500138,Snake Oil,0,,0,MINK,Conditioner,,,,68٫03,0,0,,1,نواقص,99999,,20٫83,,2023/01/05,,,,,,,,2023/03/24,,-1,,,,,جميل ساويروس,,,,0,40٫49,20٫83,2022/11/28,,20٫83,لا,35,30,28,25,0
1042,MINK حمام كريم افوكادو 1KG,0,0,30,0,50,0,45,0,40,0,34٫3,0,2024/01/31,,,,,,,,,,,,,,,6222014500572,افوكادو,0,,0,MINK,حمام كريم,1KG,,,66٫67,0,0,,1,نواقص,99999,,30,,2022/12/01,,,,,,,,2022/12/01,,-1,,,,,استاذ / جميل ساويروس,,,,0,40,30,2022/09/05,,30,لا,50,45,40,34٫3,0
1043,MINK حمام كريم الارجان 1KG,0,0,30,0,50,0,45,0,40,0,34٫3,0,2024/01/31,,,,,,,,,,,,,,,6222014500381,الارجان,0,,0,MINK,حمام كريم,1KG,,,66٫67,0,0,,1,نواقص,99999,,30,,2023/10/12,,,,,,,,2023/09/30,,-1,,,,,استاذ / جميل ساويروس,,,,0,40,30,2022/10/29,,30,لا,50,45,40,34٫3,0
1044,MINK حمام كريم الثوم 1KG,0,0,30,0,50,0,45,0,40,0,34٫3,0,2024/01/31,,,,,,,,,,,,,,,6222014500015,الثوم,0,,0,MINK,حمام كريم,1KG,,,66٫67,0,0,,1,نواقص,99999,,30,,2023/10/12,,,,,,,,2023/10/27,,-1,,,,,استاذ / جميل ساويروس,,,,0,40,30,2022/09/05,,30,لا,50,45,40,34٫3,0
1045,MINK حمام كريم جوز هند 1KG,0,0,30,0,50,0,45,0,40,0,34٫3,0,2024/01/31,,,,,,,,,,,,,,,6222014500022,جوز هند,0,,0,MINK,حمام كريم,1KG,,,66٫67,0,0,,1,نواقص,99999,,30,,2023/10/12,,,,,,,,2023/01/16,,-1,,,,,استاذ / جميل ساويروس,,,,0,40,30,2022/09/05,,30,لا,50,45,40,34٫3,0
1046,MINK حمام كريم زيت زينون 1KG,0,0,30,0,50,0,45,0,40,0,34٫3,0,2024/01/31,,,,,,,,,,,,,,,6222014500404,زيت زينون,0,,0,MINK,حمام كريم,1KG,,,66٫67,0,0,,1,نواقص,99999,,30,,2023/10/12,,,,,,,,2023/02/22,,-1,,,,,استاذ / جميل ساويروس,,,,0,40,30,2022/09/05,,30,لا,50,45,40,34٫3,0
1047,MINK كريم مغذى للشعر بزيت المينك,0,0,9,0,15,0,13,0,11٫5,0,10,0,2022/08/22,,,,,,,,,,,,,,,6223003445089,بزيت المينك,0,,0,MINK,كريم مغذى للشعر,,,,66٫67,0,0,,1,---,99999,,9,,,,,,,,,,2022/01/02,,-1,,,,,حماده العربى,,,,0,40,9,2021/08/29,,9,لا,15,13,11٫5,10,0
10,إجمالي -   MINK,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,0,0,,,,,,,0,,,,,0,0,0,0,0,,,,,,,,,,,,,,0,,,0,,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MONAYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MONAYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,MONAYA MASCRA BLUE,0,0,50,0,75,0,70,0,65,0,60,0,2025/12/13,,,,,,,,,,,,,,,6973373042585,BLUE,0,,0,MONAYA,MASCRA,,,,50,0,0,,1,نواقص,99999,,50,,2025/08/07,,,,,,,,2025/12/13,,-1,,,,,ميخائيل نجع حمادي,,,,0,33٫33,50,2025/01/12,,50,لا,75,70,65,60,0
